flight_number,departure_airport,departure_time,arrival_airport,arrival_time
AF794,SIN,2024-07-28 07:44,KUL,2024-07-28 19:44
CX929,HKG,2024-08-13 18:45,BKK,2024-08-14 07:45
JL427,SIN,2024-08-12 20:30,FRA,2024-08-13 04:30
SK499,DXB,2024-08-01 09:07,ICN,2024-08-01 19:07
CX218,DXB,2024-08-04 22:24,ICN,2024-08-05 03:24
UA326,SIN,2024-08-15 23:43,PEK,2024-08-16 09:43
SQ582,CDG,2024-08-02 21:54,HKG,2024-08-03 11:54
SQ432,BKK,2024-07-22 11:29,KUL,2024-07-22 13:29
NH997,AMS,2024-08-17 06:37,CPH,2024-08-17 19:37
NH317,CTS,2024-08-01 08:34,KIX,2024-08-01 22:34
UA115,HND,2024-07-26 18:24,AMS,2024-07-27 07:24
SK745,HKG,2024-07-20 19:02,CDG,2024-07-21 01:02
SQ944,HKG,2024-08-01 06:14,HND,2024-08-01 08:14
SK415,HKG,2024-07-23 15:03,FRA,2024-07-23 22:03
SK673,KIX,2024-08-14 19:47,LAX,2024-08-15 02:47
JL716,PVG,2024-08-09 19:41,CTS,2024-08-10 01:41
NH805,CPH,2024-07-22 16:07,HND,2024-07-22 23:07
SQ396,LHR,2024-08-08 10:29,JFK,2024-08-08 14:29
LH531,ICN,2024-08-08 00:32,DXB,2024-08-08 11:32
EK368,PEK,2024-08-18 14:51,CTS,2024-08-18 21:51
SK158,DEL,2024-07-30 01:23,HKG,2024-07-30 03:23
BA634,DEL,2024-07-30 03:53,HKG,2024-07-30 05:53
JL560,CDG,2024-08-01 13:00,CTS,2024-08-02 00:00
BA911,BKK,2024-07-24 01:38,KIX,2024-07-24 07:38
SK955,AMS,2024-08-02 01:38,DEL,2024-08-02 06:38
EK990,NRT,2024-08-11 12:55,BKK,2024-08-12 03:55
JL683,KUL,2024-07-20 07:36,PVG,2024-07-20 21:36
NH293,CDG,2024-08-01 23:49,FRA,2024-08-02 09:49
CX694,CTS,2024-08-02 14:26,CDG,2024-08-03 01:26
EK340,CDG,2024-08-08 00:10,FRA,2024-08-08 11:10
UA877,LHR,2024-08-12 04:47,JFK,2024-08-12 07:47
BA747,PEK,2024-08-07 00:54,PVG,2024-08-07 09:54
UA663,ICN,2024-07-21 13:11,HKG,2024-07-22 04:11
SK358,DXB,2024-07-31 21:25,BKK,2024-08-01 10:25
UA231,NRT,2024-08-18 16:22,AMS,2024-08-18 19:22
EK418,CPH,2024-08-02 06:46,DXB,2024-08-02 14:46
EK163,SIN,2024-07-28 22:35,FRA,2024-07-29 00:35
CX119,CTS,2024-08-08 08:59,BKK,2024-08-08 12:59
SK784,NRT,2024-07-20 16:04,LHR,2024-07-21 02:04
UA884,PEK,2024-08-12 18:34,NRT,2024-08-12 20:34
JL526,DEL,2024-07-26 10:35,PEK,2024-07-26 19:35
CX760,PEK,2024-08-04 17:54,KIX,2024-08-04 21:54
NH771,KUL,2024-07-22 07:31,ICN,2024-07-22 19:31
NH898,DXB,2024-08-18 07:22,DEL,2024-08-18 20:22
AF453,AMS,2024-08-17 17:29,CPH,2024-08-18 07:29
CX600,PEK,2024-07-27 18:37,SIN,2024-07-27 22:37
NH258,HND,2024-07-31 21:18,PEK,2024-08-01 02:18
JL256,DXB,2024-07-22 02:06,FRA,2024-07-22 08:06
AF239,FRA,2024-07-31 22:11,KIX,2024-08-01 12:11
BA361,HND,2024-08-13 12:06,PEK,2024-08-13 18:06
LH530,CTS,2024-07-24 06:59,KUL,2024-07-24 17:59
BA163,SIN,2024-07-24 23:08,KUL,2024-07-25 14:08
BA701,DEL,2024-08-03 08:49,AMS,2024-08-03 13:49
LH901,ICN,2024-08-16 00:03,DXB,2024-08-16 03:03
AF354,BKK,2024-08-15 14:17,LHR,2024-08-15 21:17
SQ272,JFK,2024-08-07 13:31,ICN,2024-08-07 19:31
SK280,HKG,2024-08-04 01:38,KUL,2024-08-04 12:38
BA203,NRT,2024-07-28 15:27,CPH,2024-07-29 06:27
JL121,JFK,2024-08-01 19:45,HND,2024-08-02 00:45
NH287,AMS,2024-08-14 11:54,BKK,2024-08-14 16:54
AF837,FRA,2024-07-23 22:13,CTS,2024-07-24 13:13
BA777,CTS,2024-08-15 09:42,PEK,2024-08-15 23:42
SQ785,PEK,2024-08-12 17:29,PVG,2024-08-13 08:29
SK444,FRA,2024-07-25 02:31,CTS,2024-07-25 12:31
JL265,KIX,2024-08-13 13:15,BKK,2024-08-14 02:15
AF824,LHR,2024-07-29 09:59,PEK,2024-07-29 18:59
LH530,HKG,2024-07-25 21:47,AMS,2024-07-26 04:47
BA766,HND,2024-08-07 03:04,PEK,2024-08-07 09:04
EK169,AMS,2024-07-24 13:54,CTS,2024-07-25 01:54
NH153,BKK,2024-07-23 16:57,SIN,2024-07-23 20:57
AF404,SIN,2024-08-01 03:58,NRT,2024-08-01 09:58
CX816,DXB,2024-07-20 08:25,KIX,2024-07-20 18:25
UA289,NRT,2024-08-19 22:22,CPH,2024-08-20 05:22
BA219,HND,2024-07-21 01:45,LHR,2024-07-21 13:45
SQ445,CTS,2024-08-11 13:18,CPH,2024-08-12 04:18
NH610,BKK,2024-08-14 00:28,KUL,2024-08-14 09:28
BA702,HKG,2024-07-27 21:54,JFK,2024-07-28 05:54
UA405,AMS,2024-08-09 00:49,ICN,2024-08-09 11:49
BA235,DXB,2024-08-16 14:28,NRT,2024-08-16 18:28
LH599,HND,2024-08-18 05:18,KUL,2024-08-18 15:18
CX389,KUL,2024-08-08 15:39,JFK,2024-08-08 23:39
CX153,PEK,2024-08-09 19:11,CPH,2024-08-10 03:11
JL986,HKG,2024-08-10 17:38,LAX,2024-08-10 21:38
JL286,JFK,2024-08-10 23:08,ICN,2024-08-11 01:08
EK751,BKK,2024-08-13 13:47,HKG,2024-08-13 19:47
LH505,HKG,2024-07-24 11:22,HND,2024-07-24 18:22
JL920,SIN,2024-08-13 13:23,CDG,2024-08-14 02:23
JL484,KUL,2024-07-20 11:31,CTS,2024-07-20 22:31
SK975,ICN,2024-08-07 17:15,CDG,2024-08-08 01:15
JL290,PVG,2024-08-19 09:07,KUL,2024-08-19 20:07
CX575,DXB,2024-08-09 13:15,KIX,2024-08-09 15:15
JL569,KIX,2024-08-01 02:43,LHR,2024-08-01 09:43
CX644,PEK,2024-08-01 05:02,BKK,2024-08-01 15:02
NH443,HKG,2024-08-04 03:48,DEL,2024-08-04 09:48
JL756,CTS,2024-08-07 12:28,CDG,2024-08-07 23:28
SQ917,DXB,2024-08-14 14:05,BKK,2024-08-14 16:05
LH920,LAX,2024-07-21 06:17,ICN,2024-07-21 08:17
SQ903,HND,2024-08-13 02:46,PEK,2024-08-13 11:46
JL732,LAX,2024-08-17 09:44,PVG,2024-08-17 13:44
LH279,SIN,2024-08-11 04:45,CDG,2024-08-11 09:45
BA512,BKK,2024-08-11 13:34,CTS,2024-08-11 20:34
AF558,CPH,2024-08-08 13:16,KIX,2024-08-08 23:16
CX793,SIN,2024-08-02 00:08,DXB,2024-08-02 11:08
JL744,ICN,2024-08-07 16:07,KIX,2024-08-07 20:07
JL849,CTS,2024-07-26 03:13,HKG,2024-07-26 18:13
EK670,DEL,2024-07-30 10:42,HND,2024-07-30 20:42
UA475,CTS,2024-07-27 09:28,KUL,2024-07-27 17:28
UA175,CTS,2024-08-07 19:50,HND,2024-08-08 00:50
LH119,KIX,2024-08-10 07:58,BKK,2024-08-10 15:58
EK783,CTS,2024-08-10 15:40,KIX,2024-08-11 00:40
EK518,LHR,2024-08-19 00:07,NRT,2024-08-19 11:07
LH780,DXB,2024-08-08 10:07,CDG,2024-08-08 22:07
NH481,DEL,2024-08-16 19:32,LHR,2024-08-17 04:32
SK372,BKK,2024-07-24 08:20,LHR,2024-07-24 22:20
LH991,HND,2024-08-14 00:35,NRT,2024-08-14 04:35
AF592,DEL,2024-08-12 00:59,HKG,2024-08-12 12:59
SQ458,LAX,2024-07-26 08:57,HKG,2024-07-26 11:57
UA338,HKG,2024-07-23 21:34,CTS,2024-07-24 04:34
SK157,PVG,2024-07-22 15:26,LAX,2024-07-23 04:26
BA421,NRT,2024-07-24 19:38,PVG,2024-07-24 22:38
AF598,HKG,2024-07-21 17:13,ICN,2024-07-21 20:13
BA685,PVG,2024-07-22 09:36,KIX,2024-07-22 13:36
BA561,LAX,2024-08-18 17:57,NRT,2024-08-19 07:57
AF487,CPH,2024-08-16 02:59,FRA,2024-08-16 12:59
NH566,PEK,2024-08-02 12:50,LAX,2024-08-02 23:50
EK833,PEK,2024-08-01 11:22,KIX,2024-08-02 00:22
SK917,JFK,2024-08-02 10:29,CDG,2024-08-02 15:29
AF349,NRT,2024-08-10 14:10,CDG,2024-08-10 22:10
CX990,CPH,2024-07-22 03:17,FRA,2024-07-22 09:17
AF970,HKG,2024-07-25 22:49,KIX,2024-07-26 06:49
SQ242,FRA,2024-08-05 19:52,PEK,2024-08-06 03:52
SQ893,FRA,2024-08-13 21:49,PVG,2024-08-14 00:49
SQ211,DXB,2024-08-09 23:00,JFK,2024-08-10 08:00
BA440,BKK,2024-08-18 11:40,FRA,2024-08-18 20:40
BA977,CDG,2024-07-29 12:50,NRT,2024-07-29 14:50
CX208,HKG,2024-08-12 00:46,BKK,2024-08-12 03:46
UA962,CTS,2024-08-10 11:59,KUL,2024-08-10 23:59
EK288,DXB,2024-07-24 07:39,AMS,2024-07-24 11:39
BA988,LAX,2024-07-29 20:43,AMS,2024-07-30 07:43
SK611,PEK,2024-08-15 03:08,JFK,2024-08-15 17:08
SQ266,CDG,2024-07-27 09:35,LAX,2024-07-27 13:35
CX137,JFK,2024-07-23 02:01,NRT,2024-07-23 13:01
NH989,CPH,2024-08-14 21:40,LHR,2024-08-15 11:40
LH990,CTS,2024-07-28 19:15,CPH,2024-07-29 07:15
AF110,PVG,2024-07-23 12:12,FRA,2024-07-23 23:12
SK907,LHR,2024-07-21 13:48,CPH,2024-07-21 21:48
EK595,KUL,2024-08-18 12:11,NRT,2024-08-19 00:11
AF969,FRA,2024-08-04 01:07,DEL,2024-08-04 16:07
JL977,DEL,2024-08-02 22:30,NRT,2024-08-03 02:30
LH741,JFK,2024-08-01 21:00,PEK,2024-08-02 06:00
BA136,FRA,2024-08-10 14:11,JFK,2024-08-11 02:11
LH904,SIN,2024-08-16 01:27,HKG,2024-08-16 05:27
JL263,PEK,2024-08-03 21:42,KUL,2024-08-04 08:42
AF319,LAX,2024-08-17 03:29,HKG,2024-08-17 08:29
UA275,CTS,2024-07-30 07:32,BKK,2024-07-30 22:32
SQ425,PVG,2024-07-28 21:47,CDG,2024-07-29 06:47
NH607,SIN,2024-07-20 00:38,DXB,2024-07-20 07:38
BA605,HKG,2024-07-23 23:15,ICN,2024-07-24 06:15
BA744,PEK,2024-08-03 20:44,CTS,2024-08-03 22:44
SK164,NRT,2024-08-14 16:24,LHR,2024-08-15 07:24
UA290,FRA,2024-08-01 06:28,SIN,2024-08-01 14:28
EK161,PEK,2024-08-16 08:05,DEL,2024-08-16 20:05
BA425,LHR,2024-08-04 06:08,CDG,2024-08-04 14:08
CX975,HND,2024-08-19 20:41,BKK,2024-08-20 07:41
EK798,LHR,2024-08-03 20:25,HND,2024-08-04 00:25
UA308,DXB,2024-07-30 03:00,NRT,2024-07-30 12:00
SQ158,CTS,2024-07-23 01:24,LHR,2024-07-23 05:24
LH692,ICN,2024-08-13 02:42,PVG,2024-08-13 17:42
EK356,HND,2024-08-08 03:51,AMS,2024-08-08 08:51
BA199,BKK,2024-08-04 15:48,NRT,2024-08-05 02:48
LH797,JFK,2024-08-08 17:58,FRA,2024-08-08 20:58
UA770,AMS,2024-08-06 12:04,PVG,2024-08-06 23:04
SK247,DEL,2024-08-02 19:06,FRA,2024-08-03 05:06
AF322,BKK,2024-08-10 10:28,HKG,2024-08-10 19:28
NH290,FRA,2024-08-18 02:13,CTS,2024-08-18 07:13
LH598,HND,2024-07-30 03:57,LHR,2024-07-30 10:57
SK619,HKG,2024-08-17 02:54,FRA,2024-08-17 17:54
AF475,DXB,2024-07-30 03:22,PEK,2024-07-30 10:22
UA141,JFK,2024-07-21 09:55,NRT,2024-07-21 21:55
AF655,CPH,2024-08-08 14:17,NRT,2024-08-09 03:17
JL407,ICN,2024-07-31 04:56,SIN,2024-07-31 16:56
LH349,JFK,2024-07-26 03:48,HKG,2024-07-26 08:48
NH809,JFK,2024-07-23 04:57,BKK,2024-07-23 17:57
AF184,PVG,2024-08-05 09:31,CTS,2024-08-05 21:31
LH304,PVG,2024-07-25 10:25,HND,2024-07-26 00:25
SQ849,LAX,2024-07-28 01:56,DEL,2024-07-28 11:56
UA769,CPH,2024-08-01 03:38,CDG,2024-08-01 17:38
EK255,CTS,2024-08-13 17:05,JFK,2024-08-14 03:05
NH132,CTS,2024-08-07 08:35,FRA,2024-08-07 14:35
LH680,JFK,2024-07-27 16:14,LAX,2024-07-28 03:14
SK193,HKG,2024-08-07 03:00,PVG,2024-08-07 14:00
NH550,KUL,2024-08-03 14:55,CTS,2024-08-03 17:55
SQ735,LHR,2024-08-01 21:01,PEK,2024-08-02 05:01
CX614,HKG,2024-07-30 07:44,BKK,2024-07-30 09:44
CX762,DXB,2024-08-06 21:49,CTS,2024-08-07 06:49
NH752,NRT,2024-08-16 14:56,SIN,2024-08-17 03:56
JL737,DXB,2024-07-20 19:51,HND,2024-07-21 03:51
CX168,FRA,2024-08-03 07:55,KIX,2024-08-03 09:55
NH344,SIN,2024-08-17 08:12,KUL,2024-08-17 12:12
AF534,KUL,2024-08-03 05:32,CPH,2024-08-03 12:32
UA470,PEK,2024-08-18 03:09,LHR,2024-08-18 05:09
BA672,HND,2024-08-01 08:48,PEK,2024-08-01 10:48
AF759,SIN,2024-07-21 05:06,ICN,2024-07-21 11:06
EK134,PVG,2024-07-29 07:30,BKK,2024-07-29 19:30
CX350,CDG,2024-07-27 01:59,LHR,2024-07-27 06:59
EK577,ICN,2024-07-22 07:26,NRT,2024-07-22 15:26
LH144,PVG,2024-07-25 09:13,FRA,2024-07-25 23:13
UA671,DEL,2024-08-13 09:01,FRA,2024-08-13 15:01
EK662,KIX,2024-07-24 10:33,LHR,2024-07-24 21:33
SK776,HND,2024-08-10 14:10,NRT,2024-08-10 17:10
CX319,KIX,2024-07-20 16:44,ICN,2024-07-20 19:44
AF384,DXB,2024-08-01 12:16,KUL,2024-08-01 19:16
UA417,HND,2024-07-23 04:11,AMS,2024-07-23 17:11
SK245,PVG,2024-08-06 08:41,HKG,2024-08-06 10:41
SQ434,KIX,2024-07-25 17:49,LHR,2024-07-26 08:49
AF213,LAX,2024-07-22 03:00,LHR,2024-07-22 18:00
SQ718,SIN,2024-08-13 11:13,BKK,2024-08-13 13:13
BA768,CDG,2024-08-11 16:18,PEK,2024-08-12 02:18
AF257,CTS,2024-08-05 01:31,PEK,2024-08-05 14:31
EK958,DXB,2024-08-16 20:44,AMS,2024-08-17 03:44
JL863,SIN,2024-08-12 03:10,CTS,2024-08-12 05:10
CX870,NRT,2024-08-16 07:59,CTS,2024-08-16 12:59
AF496,KUL,2024-08-01 10:01,ICN,2024-08-01 14:01
CX295,HKG,2024-08-12 07:52,CPH,2024-08-12 22:52
SQ318,LAX,2024-08-06 22:42,HND,2024-08-07 11:42
JL342,PEK,2024-08-13 06:46,HKG,2024-08-13 13:46
SK360,LAX,2024-08-13 23:10,KUL,2024-08-14 13:10
NH581,LAX,2024-07-27 02:29,ICN,2024-07-27 13:29
LH887,HKG,2024-08-05 00:07,AMS,2024-08-05 08:07
NH897,PVG,2024-08-11 08:08,KIX,2024-08-11 19:08
SK593,ICN,2024-07-24 00:27,BKK,2024-07-24 10:27
CX887,DXB,2024-08-13 22:17,PEK,2024-08-14 12:17
SQ398,FRA,2024-07-22 12:51,CPH,2024-07-23 00:51
AF142,NRT,2024-08-16 06:09,FRA,2024-08-16 20:09
AF526,FRA,2024-07-25 18:11,KUL,2024-07-26 06:11
JL471,DEL,2024-08-14 14:03,SIN,2024-08-14 16:03
LH838,JFK,2024-08-14 15:37,PVG,2024-08-15 05:37
SQ774,ICN,2024-08-04 15:01,CTS,2024-08-05 00:01
EK241,DXB,2024-08-06 03:58,LAX,2024-08-06 06:58
SK444,DEL,2024-08-05 19:39,NRT,2024-08-06 03:39
NH892,AMS,2024-07-28 05:34,PVG,2024-07-28 17:34
UA567,CTS,2024-07-28 10:15,DXB,2024-07-28 22:15
UA143,JFK,2024-08-11 22:21,ICN,2024-08-12 13:21
UA812,HKG,2024-08-01 23:08,BKK,2024-08-02 13:08
NH203,HKG,2024-07-21 17:41,PEK,2024-07-21 23:41
CX693,ICN,2024-07-28 02:37,CTS,2024-07-28 14:37
SK380,CDG,2024-08-08 23:42,SIN,2024-08-09 10:42
BA972,NRT,2024-08-04 19:51,SIN,2024-08-05 00:51
SK744,CDG,2024-08-04 21:04,SIN,2024-08-05 07:04
JL542,KIX,2024-07-27 00:07,ICN,2024-07-27 13:07
CX855,DEL,2024-07-29 08:44,CPH,2024-07-29 14:44
SK556,NRT,2024-08-05 08:11,DEL,2024-08-05 23:11
EK431,CDG,2024-07-25 11:19,KUL,2024-07-25 18:19
CX330,AMS,2024-07-23 08:52,DXB,2024-07-23 20:52
BA178,FRA,2024-08-01 06:12,CDG,2024-08-01 10:12
LH954,DEL,2024-08-05 09:41,NRT,2024-08-05 14:41
CX732,CTS,2024-07-24 11:57,KUL,2024-07-24 14:57
JL495,LHR,2024-08-14 15:54,KIX,2024-08-14 17:54
LH511,NRT,2024-08-11 23:46,HKG,2024-08-12 07:46
JL368,KUL,2024-08-17 08:40,NRT,2024-08-17 11:40
SQ579,NRT,2024-08-18 00:54,CDG,2024-08-18 03:54
JL523,KUL,2024-08-17 12:42,CDG,2024-08-17 16:42
NH685,LHR,2024-08-02 15:02,NRT,2024-08-03 04:02
BA139,ICN,2024-08-01 08:15,NRT,2024-08-01 21:15
BA851,LAX,2024-08-01 19:26,KIX,2024-08-02 00:26
CX913,CDG,2024-08-12 08:23,PEK,2024-08-12 21:23
EK637,HKG,2024-08-07 18:32,CDG,2024-08-07 23:32
NH102,NRT,2024-08-07 10:28,JFK,2024-08-07 14:28
SQ723,CDG,2024-08-07 00:08,KUL,2024-08-07 13:08
BA151,FRA,2024-08-01 05:16,DXB,2024-08-01 09:16
NH314,DXB,2024-08-10 14:47,CDG,2024-08-10 21:47
CX353,NRT,2024-07-29 01:23,LHR,2024-07-29 09:23
NH615,BKK,2024-08-12 08:12,CPH,2024-08-12 22:12
AF751,DXB,2024-08-18 14:47,KIX,2024-08-18 16:47
SK497,FRA,2024-08-17 17:57,DXB,2024-08-18 00:57
UA187,KUL,2024-07-21 13:47,KIX,2024-07-21 17:47
BA286,CPH,2024-07-25 09:45,HND,2024-07-25 17:45
CX260,HKG,2024-08-10 05:45,DXB,2024-08-10 14:45
UA573,CPH,2024-08-16 06:41,AMS,2024-08-16 14:41
SK806,NRT,2024-07-23 00:12,AMS,2024-07-23 03:12
BA179,HKG,2024-08-01 11:47,SIN,2024-08-01 18:47
UA921,JFK,2024-07-23 10:07,NRT,2024-07-23 18:07
UA549,DXB,2024-08-19 17:19,FRA,2024-08-20 01:19
LH353,KIX,2024-07-31 04:28,LAX,2024-07-31 06:28
UA129,DXB,2024-08-18 22:43,CPH,2024-08-19 12:43
LH854,BKK,2024-07-23 14:55,KUL,2024-07-23 20:55
EK708,LAX,2024-08-03 09:59,PEK,2024-08-03 15:59
LH578,PEK,2024-07-22 21:19,DXB,2024-07-23 01:19
BA929,AMS,2024-07-28 19:12,CDG,2024-07-29 05:12
SQ494,DEL,2024-08-07 22:27,BKK,2024-08-08 11:27
LH405,NRT,2024-08-11 02:40,LHR,2024-08-11 17:40
EK985,CTS,2024-08-05 01:10,JFK,2024-08-05 03:10
BA417,DXB,2024-08-08 04:10,LAX,2024-08-08 19:10
SK891,HND,2024-08-03 10:20,SIN,2024-08-03 20:20
JL784,NRT,2024-08-15 20:04,DXB,2024-08-16 11:04
SK634,KIX,2024-08-18 06:37,NRT,2024-08-18 11:37
NH427,LHR,2024-08-03 14:04,JFK,2024-08-03 17:04
JL906,CTS,2024-08-19 00:13,HND,2024-08-19 08:13
LH212,ICN,2024-08-12 09:01,DEL,2024-08-12 14:01
JL549,DEL,2024-08-17 23:26,AMS,2024-08-18 01:26
CX488,CDG,2024-08-07 23:38,DEL,2024-08-08 08:38
NH309,KIX,2024-08-12 01:13,BKK,2024-08-12 03:13
SQ378,LHR,2024-08-05 06:59,FRA,2024-08-05 11:59
NH101,PVG,2024-08-02 04:30,ICN,2024-08-02 07:30
JL999,CPH,2024-08-08 17:57,AMS,2024-08-09 01:57
UA120,FRA,2024-08-09 19:55,HND,2024-08-10 05:55
AF624,CPH,2024-07-29 08:18,CTS,2024-07-29 19:18
CX511,HKG,2024-07-31 10:46,DXB,2024-07-31 16:46
AF260,DXB,2024-07-30 13:40,CDG,2024-07-30 19:40
SK214,PVG,2024-07-27 22:30,ICN,2024-07-28 07:30
AF122,KIX,2024-08-16 04:28,JFK,2024-08-16 08:28
CX467,PEK,2024-07-30 13:06,LAX,2024-07-30 18:06
UA990,ICN,2024-07-24 10:03,NRT,2024-07-24 12:03
NH182,PVG,2024-08-16 01:50,KIX,2024-08-16 03:50
BA373,BKK,2024-08-15 01:40,JFK,2024-08-15 09:40
BA994,FRA,2024-08-12 10:19,CPH,2024-08-12 12:19
LH861,LAX,2024-08-15 20:44,PVG,2024-08-15 22:44
SK869,NRT,2024-08-03 14:55,DEL,2024-08-04 00:55
LH645,LAX,2024-08-08 02:38,AMS,2024-08-08 08:38
LH888,NRT,2024-08-14 16:17,CTS,2024-08-14 21:17
CX807,KUL,2024-07-22 23:48,KIX,2024-07-23 09:48
AF646,LAX,2024-07-20 11:09,LHR,2024-07-20 19:09
BA900,LHR,2024-08-10 11:34,CDG,2024-08-10 21:34
SK974,ICN,2024-08-19 12:21,KUL,2024-08-19 15:21
LH422,HND,2024-08-16 11:25,SIN,2024-08-17 02:25
SK376,CPH,2024-08-12 22:24,NRT,2024-08-13 07:24
CX382,FRA,2024-08-18 12:40,HKG,2024-08-18 21:40
CX792,AMS,2024-07-21 23:16,LAX,2024-07-22 13:16
SK513,PEK,2024-07-23 03:17,DEL,2024-07-23 11:17
SK867,HKG,2024-07-20 15:02,CDG,2024-07-20 18:02
NH515,NRT,2024-08-02 01:26,ICN,2024-08-02 14:26
UA498,KUL,2024-08-08 15:49,SIN,2024-08-08 19:49
SQ710,KUL,2024-07-29 11:18,DEL,2024-07-30 02:18
LH482,CTS,2024-08-19 16:40,NRT,2024-08-20 02:40
NH910,FRA,2024-08-10 13:05,DEL,2024-08-10 23:05
UA920,PVG,2024-07-31 14:42,HKG,2024-08-01 02:42
UA938,JFK,2024-08-04 22:19,PVG,2024-08-05 02:19
UA140,AMS,2024-08-17 01:34,BKK,2024-08-17 12:34
AF680,JFK,2024-08-15 16:07,NRT,2024-08-16 01:07
EK750,ICN,2024-08-15 09:23,KUL,2024-08-15 12:23
NH255,HKG,2024-08-14 06:06,JFK,2024-08-14 09:06
EK667,JFK,2024-07-20 22:17,NRT,2024-07-21 12:17
UA874,HND,2024-08-01 05:19,PEK,2024-08-01 20:19
CX701,ICN,2024-08-11 14:35,BKK,2024-08-11 22:35
SK599,LAX,2024-08-07 05:02,PEK,2024-08-07 07:02
BA894,BKK,2024-08-01 13:27,SIN,2024-08-01 20:27
SK767,PVG,2024-08-16 15:11,DXB,2024-08-17 06:11
AF450,KUL,2024-08-06 03:57,LHR,2024-08-06 09:57
UA144,DXB,2024-08-17 15:57,HND,2024-08-18 03:57
EK658,DEL,2024-07-23 15:24,LAX,2024-07-23 19:24
NH985,BKK,2024-07-28 22:05,KIX,2024-07-29 01:05
LH115,ICN,2024-08-12 12:08,NRT,2024-08-12 14:08
NH521,KIX,2024-08-07 02:05,FRA,2024-08-07 14:05
AF401,DXB,2024-07-21 01:22,SIN,2024-07-21 16:22
JL453,DEL,2024-07-23 20:23,BKK,2024-07-24 00:23
EK420,PEK,2024-08-08 20:52,CDG,2024-08-09 01:52
EK724,LAX,2024-07-20 03:07,HND,2024-07-20 16:07
EK272,LHR,2024-07-31 13:21,FRA,2024-07-31 22:21
EK657,CPH,2024-07-30 07:13,PEK,2024-07-30 16:13
LH763,FRA,2024-08-05 17:38,CPH,2024-08-06 05:38
JL873,AMS,2024-07-24 18:32,SIN,2024-07-25 00:32
BA362,HND,2024-07-30 06:26,AMS,2024-07-30 10:26
NH490,KUL,2024-08-18 16:18,LHR,2024-08-19 07:18
SQ314,HKG,2024-07-31 18:36,PVG,2024-08-01 08:36
BA554,FRA,2024-07-29 15:46,JFK,2024-07-29 21:46
LH218,KIX,2024-07-22 17:33,HKG,2024-07-22 19:33
BA109,LAX,2024-08-03 08:49,BKK,2024-08-03 10:49
SK705,JFK,2024-08-08 15:01,AMS,2024-08-08 22:01
CX855,HKG,2024-08-12 06:57,JFK,2024-08-12 18:57
EK828,CTS,2024-08-09 19:57,SIN,2024-08-10 00:57
EK567,FRA,2024-08-16 02:33,ICN,2024-08-16 08:33
JL493,JFK,2024-07-23 05:17,SIN,2024-07-23 08:17
NH432,KUL,2024-08-13 19:44,JFK,2024-08-14 03:44
CX777,KUL,2024-08-07 09:50,FRA,2024-08-07 13:50
SK154,NRT,2024-08-03 21:28,SIN,2024-08-04 11:28
BA697,KIX,2024-08-15 21:51,KUL,2024-08-16 12:51
SK668,BKK,2024-07-23 16:33,KIX,2024-07-23 23:33
AF210,DXB,2024-08-03 03:05,ICN,2024-08-03 13:05
CX361,BKK,2024-07-23 17:26,AMS,2024-07-24 00:26
SK383,DEL,2024-08-11 06:42,HKG,2024-08-11 18:42
EK722,CDG,2024-07-20 11:56,DXB,2024-07-21 00:56
AF780,PEK,2024-07-30 02:44,LHR,2024-07-30 17:44
LH404,CTS,2024-08-15 08:54,HND,2024-08-15 14:54
NH619,FRA,2024-08-01 15:45,KIX,2024-08-02 01:45
EK177,PEK,2024-08-10 08:35,JFK,2024-08-10 21:35
JL540,LHR,2024-08-18 13:27,KUL,2024-08-18 16:27
LH388,SIN,2024-08-01 15:03,KUL,2024-08-02 02:03
BA366,KUL,2024-07-29 07:49,SIN,2024-07-29 12:49
EK635,NRT,2024-08-09 02:37,JFK,2024-08-09 10:37
SQ128,PEK,2024-08-02 10:39,HKG,2024-08-02 12:39
AF757,LAX,2024-07-21 14:55,DXB,2024-07-21 19:55
SQ788,CTS,2024-07-21 07:51,NRT,2024-07-21 17:51
SK288,CDG,2024-08-17 23:08,PVG,2024-08-18 05:08
BA739,CPH,2024-07-29 12:33,HKG,2024-07-29 22:33
NH193,CPH,2024-07-21 20:32,CTS,2024-07-22 06:32
UA697,KIX,2024-07-21 20:43,DXB,2024-07-22 04:43
NH606,KIX,2024-08-18 04:09,FRA,2024-08-18 15:09
BA318,DEL,2024-08-03 20:12,NRT,2024-08-03 23:12
EK354,CDG,2024-08-13 04:06,CPH,2024-08-13 11:06
SK204,KIX,2024-08-10 09:08,CDG,2024-08-10 12:08
AF556,SIN,2024-07-28 06:43,HKG,2024-07-28 10:43
JL408,HND,2024-07-21 02:25,ICN,2024-07-21 08:25
LH258,PEK,2024-08-18 05:00,LAX,2024-08-18 07:00
UA686,KIX,2024-08-16 22:53,PVG,2024-08-17 00:53
EK487,FRA,2024-07-26 05:12,ICN,2024-07-26 08:12
SK115,JFK,2024-08-03 04:03,LAX,2024-08-03 11:03
EK484,PVG,2024-08-11 08:37,SIN,2024-08-11 21:37
SK554,AMS,2024-08-10 04:08,ICN,2024-08-10 12:08
SK326,JFK,2024-08-03 08:17,BKK,2024-08-03 19:17
JL970,HKG,2024-08-05 07:29,HND,2024-08-05 15:29
CX396,AMS,2024-07-24 09:30,CDG,2024-07-24 22:30
